user_ID user_no label
1 1217 0
2 1090 0
3 2560 1
4 1699 0
5 2168 1
6 918 1
7 1942 0
8 627 0
9 2111 1
10 2212 1
11 3052 1
12 565 0
13 1999 1
14 1218 0
15 838 0
16 2806 1
17 2787 1
18 3399 1
19 3210 1
20 847 0
21 776 1
22 1739 1
23 1522 1
24 816 1
25 1521 1
26 3085 1
27 1399 1
28 2176 1
29 3286 1
30 1915 1
31 2130 1
32 2930 1
33 1472 1
34 2252 1
35 1394 1
36 2600 1
37 3267 1
38 1711 1
39 3094 1
40 2411 1
41 2429 1
42 3017 0
43 2791 1
44 2020 1
45 3026 1
46 1404 1
47 3321 1
48 1610 1
49 3046 1
50 1489 1
51 2754 1
52 2998 1
53 3112 1
54 3074 1
55 3341 1
56 2447 0
57 2146 1
58 2629 1
59 2053 1
60 1681 1
61 3239 1
62 1164 1
63 3140 1
64 1230 1
65 1677 1
66 2171 1
67 2610 1
68 184 0
69 2291 1
70 1349 1
71 1312 1
72 2074 1
73 1736 1
74 2311 1
75 1878 0
76 164 0
77 2159 1
78 324 0
79 1091 0
80 3279 1
81 2065 1
82 2783 1
83 2335 1
84 3029 1
85 2993 1
86 716 0
87 2765 1
88 3196 1
89 3374 1
90 251 0
91 2830 1
92 1390 1
93 1166 1
94 3227 1
95 2099 1
96 2281 1
97 2076 1
98 1931 1
99 2160 0
100 3211 1
101 3105 1
102 2656 0
103 2482 1
104 2100 1
105 2888 1
106 2224 1
107 1192 1
108 3383 1
109 1271 0
110 1853 1
111 2063 0
112 2758 1
113 1307 0
114 638 0
115 3013 1
116 3186 1
117 2941 1
118 977 1
119 3008 1
120 3191 1
121 688 0
122 2976 1
123 3174 1
124 1724 1
125 2785 1
126 3115 1
127 1201 0
128 2026 1
129 3382 1
130 2408 0
131 2965 1
132 2875 1
133 2681 1
134 2678 1
135 2690 1
136 2134 1
137 2333 1
138 3292 1
139 2767 1
140 3166 1
141 3299 1
142 928 1
143 2628 1
144 3081 1
145 3137 1
146 536 0
147 3152 1
148 1041 0
149 2795 1
150 3117 1
151 2112 1
152 1264 1
153 1527 1
154 2308 0
155 2276 1
156 2945 1
157 2011 1
158 1407 0
159 2537 1
160 1688 1
161 2286 1
162 2588 1
163 2843 1
164 2562 1
165 982 1
166 2572 0
167 482 0
168 1598 1
169 3277 1
170 3334 1
171 2977 1
172 3165 1
173 823 0
174 3172 1
175 394 0
176 2358 1
177 962 0
178 2150 1
179 2582 1
180 3283 1
181 2428 0
182 1012 0
183 2885 1
184 2877 1
185 3091 1
186 1925 1
187 2375 1
188 2533 1
189 2498 0
190 2423 1
191 3248 1
192 3104 0
193 2394 1
194 2071 1
195 2762 1
196 2525 1
197 3209 1
198 2813 1
199 2585 1
200 3330 1
201 3222 1
202 2753 1
203 1973 1
204 3045 1
205 2481 1
206 2689 1
207 2780 1
208 2739 1
209 3233 1
210 3168 1
211 1776 1
212 1605 1
213 3144 1
214 2963 1
215 2263 1
216 2300 1
217 2361 0
218 1237 1
219 2058 0
220 1868 0
221 1760 1
222 3158 1
223 1796 1
224 2489 0
225 2143 1
226 1982 1
227 276 0
228 2729 1
229 2967 1
230 1411 1
231 2716 1
232 3159 1
233 3053 1
234 1270 1
235 1379 1
236 2478 0
237 3086 1
238 3253 1
239 2491 1
240 2181 1
241 2876 1
242 2832 1
243 3357 1
244 3060 1
245 1579 1
246 3072 1
247 2407 1
248 2461 1
249 1420 1
250 1176 0
251 2086 1
252 3303 1
253 2890 1
254 1834 1
255 3079 1
256 1502 1
257 1634 0
258 2812 1
259 1089 1
260 3236 1
261 1764 0
262 906 0
263 2201 1
264 2343 1
265 2595 1
266 2987 1
267 745 1
268 1713 1
269 1648 1
270 1348 1
271 2035 1
272 768 0
273 566 0
274 1551 1
275 1970 1
276 1891 1
277 3391 1
278 3012 1
279 1458 0
280 2617 1
281 1514 1
282 635 0
283 2778 1
284 2614 1
285 2148 1
286 2771 1
287 2029 1
288 2821 1
289 2579 1
290 877 1
291 1487 1
292 2534 1
293 3260 1
294 3345 1
295 2217 1
296 3331 1
297 3346 1
298 2660 1
299 591 0
300 2522 1
301 2101 0
302 2968 1
303 2902 1
304 3011 1
305 3070 1
306 3097 1
307 1633 1
308 2415 1
309 3093 1
310 1085 1
311 2661 1
312 2536 1
313 2110 1
314 1018 1
315 1895 0
316 3009 1
317 1649 1
318 2962 1
319 2518 1
320 3213 1
321 1478 0
322 15 0
323 1816 1
324 3274 1
325 959 1
326 2726 1
327 3305 1
328 1398 0
329 3004 1
330 3195 1
331 3040 1
332 3268 1
333 2064 1
334 3362 1
335 3101 1
336 3255 1
337 1295 1
338 1623 0
339 2439 1
340 3290 1
341 2899 1
342 1657 0
343 2848 1
344 3215 1
345 2125 1
346 1062 1
347 2470 1
348 3365 1
349 1373 1
350 843 0
351 3001 1
352 2392 0
353 3398 1
354 902 0
355 729 1
356 1719 1
357 2682 1
358 3250 1
359 2103 1
360 1981 1
361 3280 1
362 3109 1
363 2680 1
364 2938 1
365 3402 1
366 1474 1
367 2015 1
368 1592 0
369 2788 1
370 1118 0
371 3225 1
372 1188 0
373 2232 1
374 377 0
375 458 0
376 2302 1
377 2078 0
378 110 0
379 1412 1
380 1651 1
381 3326 1
382 2732 1
383 3018 1
384 34 0
385 2369 1
386 2187 0
387 2864 1
388 2725 1
389 957 0
390 2138 1
391 2156 0
392 378 0
393 230 0
394 2715 1
395 3287 1
396 2991 1
397 3393 1
398 2327 1
399 235 0
400 2749 1
401 1383 1
402 3272 1
403 1284 1
404 2641 1
405 286 0
406 1641 1
407 693 0
408 2891 1
409 2904 1
410 1444 1
411 3359 1
412 3047 1
413 2158 1
414 1873 1
415 1196 0
416 1191 0
417 3249 1
418 2339 1
419 3067 1
420 2980 1
421 2658 1
422 3261 1
423 2349 1
424 1717 1
425 2871 1
426 2055 1
427 2676 1
428 971 1
429 2190 1
430 682 0
431 1261 1
432 3019 1
433 1557 1
434 2869 1
435 3226 1
436 2702 1
437 3206 1
438 1519 1
439 3244 1
440 1045 0
441 2827 1
442 2708 1
443 1784 0
444 1014 0
445 1251 0
446 1955 1
447 3078 1
448 700 0
449 464 0
450 2403 1
451 3304 1
452 3238 1
453 1241 0
454 2502 1
455 649 1
456 2782 1
457 3322 1
458 3302 1
459 2847 1
460 2755 1
461 1580 1
462 2380 1
463 2051 1
464 3014 1
465 1076 1
466 2153 1
467 2985 1
468 887 0
469 883 0
470 2344 1
471 3367 1
472 3380 1
473 2177 1
474 1785 1
475 501 0
476 2269 0
477 2744 1
478 2445 1
479 821 0
480 2441 1
481 3050 1
482 465 0
483 2992 1
484 2474 1
485 3395 1
486 1820 1
487 946 1
488 795 0
489 174 0
490 2677 1
491 3103 1
492 2310 1
493 2803 1
494 2607 1
495 419 0
496 2081 1
497 1936 1
498 1783 1
499 3071 1
500 1433 1
501 995 0
502 2363 1
503 3386 1
504 2757 1
505 1154 1
506 3318 1
507 1080 1
508 2798 1
509 3198 1
510 1679 1
511 2892 1
512 1812 1
513 1865 1
514 2010 0
515 3035 1
516 1882 1
517 1425 1
518 1988 1
519 2949 1
520 2417 1
521 1698 1
522 526 0
523 2960 0
524 252 0
525 2923 1
526 1147 1
527 3151 1
528 1881 0
529 3041 1
530 2466 1
531 2857 1
532 2550 1
533 3306 1
534 2507 0
535 1977 1
536 2883 1
537 2870 1
538 10 0
539 1501 0
540 933 1
541 1911 0
542 2266 0
543 1151 1
544 2939 1
545 1585 1
546 1769 1
547 3407 1
548 3090 1
549 2602 1
550 3281 1
551 1031 1
552 2359 1
553 1766 1
554 1765 1
555 3139 1
556 3178 1
557 2645 1
558 2867 1
559 964 0
560 3389 1
561 655 0
562 2341 1
563 2589 0
564 2623 1
565 3037 1
566 2903 1
567 3003 1
568 2082 0
569 2056 0
570 1710 1
571 3031 1
572 2989 1
573 1742 1
574 3087 1
575 1780 1
576 2294 1
577 741 0
578 1495 0
579 2838 1
580 426 0
581 2735 1
582 209 0
583 3400 1
584 3293 1
585 3069 1
586 3119 1
587 2761 1
588 1473 1
589 984 1
590 1319 1
591 1987 1
592 2759 1
593 2211 1
594 7 0
595 1615 1
596 281 0
597 3338 1
598 2760 1
599 2510 1
600 1702 1
601 3262 1
602 2178 1
603 2616 1
604 280 0
605 2041 0
606 2167 1
607 3289 1
608 2948 0
609 3308 1
610 2235 1
611 1153 1
612 1552 1
613 2292 1
614 2794 1
615 2970 1
616 1300 1
617 3173 1
618 3138 1
619 2558 1
620 1171 0
621 2401 1
622 2293 1
623 1831 0
624 1697 1
625 1259 1
626 1110 1
627 3032 1
628 255 0
629 1900 0
630 545 0
631 3375 1
632 1632 1
633 2213 0
634 1320 1
635 2861 1
636 1984 1
637 2707 1
638 2990 1
639 2144 1
640 1556 1
641 3059 1
642 351 0
643 2299 1
644 2937 1
645 2456 0
646 3344 1
647 3200 1
648 1233 0
649 871 1
650 2107 1
651 189 0
652 2775 1
653 2464 1
654 1504 0
655 1777 1
656 3309 1
