sample_index	prediction
8193	0
8201	0
32782	0
32783	0
8207	0
32790	0
24598	0
8219	0
16412	0
32796	0
24605	0
16414	0
32807	0
16425	0
8238	0
24624	0
24625	0
32824	0
8253	0
16446	0
24638	0
24646	0
24656	0
16482	0
16490	0
24692	0
8321	0
32913	0
32926	0
32928	0
16550	0
16555	0
8365	0
8366	0
16565	0
24757	0
24778	0
32981	0
8406	0
8405	0
16600	0
218	0
32989	0
32993	0
32995	0
16611	0
24809	0
16624	0
8437	0
33016	0
8449	0
8452	0
16664	0
281	0
16666	0
285	0
33054	0
16675	0
33062	0
16679	0
16685	0
16686	0
24889	0
16707	0
16712	0
8526	0
33127	0
33139	0
16756	0
8566	0
33142	0
33145	0
33151	0
33164	0
8589	0
8600	0
24990	0
8616	0
33208	0
33240	0
8667	0
16870	0
33260	0
16887	0
16889	0
16902	0
25099	0
525	0
25104	0
16915	0
33304	0
16928	0
25139	0
16949	0
25150	0
580	0
16965	0
33349	0
8775	0
25160	0
8789	0
25180	0
8799	0
613	0
8808	0
17005	0
25201	0
25204	0
17016	0
17033	0
25233	0
17048	0
25243	0
33439	0
17060	0
25255	0
33449	0
8875	0
25260	0
17068	0
17070	0
8897	0
25284	0
33484	0
718	0
33491	0
8931	0
33512	0
25325	0
8944	0
25337	0
33540	0
17161	0
33550	0
788	0
17173	0
25370	0
8987	0
25379	0
25392	0
33587	0
25396	0
17213	0
9039	0
25427	0
9043	0
9046	0
25430	0
33631	0
25439	0
33634	0
25446	0
25458	0
17267	0
25462	0
17273	0
25466	0
892	0
25496	0
9115	0
25500	0
33695	0
9120	0
17313	0
17312	0
25504	0
944	0
25523	0
25536	0
25555	0
33747	0
33750	0
17370	0
17376	0
33762	0
9201	0
17393	0
25591	0
25594	0
33786	0
17413	0
33797	0
33815	0
33818	0
17440	0
25634	0
9254	0
33830	0
25644	0
33837	0
17470	0
33860	0
33862	0
33886	0
25705	0
25707	0
25709	0
25711	0
25716	0
25719	0
33917	0
17537	0
25735	0
17544	0
33927	0
25740	0
25742	0
17552	0
25746	0
9381	0
25771	0
25772	0
9389	0
1202	0
17600	0
33990	0
9420	0
25814	0
34010	0
9441	0
34029	0
9456	0
17658	0
9470	0
9477	0
17672	0
17682	0
17685	0
34071	0
9502	0
17707	0
34091	0
34092	0
25903	0
17713	0
34099	0
25917	0
34116	0
17733	0
34121	0
34132	0
17752	0
9561	0
34143	0
9571	0
1380	0
34148	0
25969	0
34164	0
25975	0
17794	0
25989	0
1418	0
17814	0
26010	0
1442	0
26019	0
26021	0
26030	0
9650	0
17845	0
34242	0
1475	0
26052	0
26055	0
26059	0
34252	0
17882	0
34266	0
9699	0
17895	0
17905	0
9722	0
17916	0
26110	0
34302	0
34303	0
9731	0
9732	0
26119	0
9736	0
17928	0
