sample_index	prediction
12289	0
4099	0
20484	0
20488	0
14348	0
32782	0
18453	0
32790	0
26649	0
32796	0
2077	0
24605	0
26655	0
12320	0
18467	0
32807	0
16425	0
4142	0
24625	0
4146	1
32819	0
26677	0
30774	0
32824	0
30780	0
8253	0
16446	0
22593	0
24646	0
22599	0
26696	0
10316	0
4173	0
30796	0
4175	0
14416	0
2131	0
12374	0
28758	0
30819	0
34917	0
16490	0
2155	0
20586	0
18541	0
4208	1
2161	0
12401	0
20594	0
10356	0
12405	0
18548	0
24695	0
14456	0
20602	0
28798	0
20608	0
8321	0
12420	0
28804	0
22665	0
12430	0
20623	0
10387	0
16533	0
16538	0
22683	0
12446	0
30878	0
32928	0
26785	0
32930	0
34978	0
22693	0
26790	0
16550	0
20646	0
28841	0
32598	0
16555	0
26798	0
28846	0
12465	0
6324	0
18613	0
18614	0
2231	1
16567	0
26806	0
20669	0
22719	0
2240	1
18627	0
22723	0
12486	0
22726	0
30918	0
12490	0
204	0
2261	0
32981	0
4314	0
32989	0
22751	0
2272	1
32993	0
32995	0
32996	0
26854	0
10473	0
234	0
10475	0
2286	0
8437	0
12538	0
26876	0
6397	0
35068	0
8449	0
28932	0
14605	0
2318	0
30990	0
16664	0
2329	1
14617	0
16666	0
35096	0
14622	0
14630	0
10535	0
16679	0
16685	0
26926	0
28978	0
4404	0
31031	0
24889	0
14651	0
31036	0
18753	0
20801	0
8515	0
22849	0
12613	0
16709	0
4423	0
22850	0
26947	0
26954	0
6480	0
4433	0
338	0
4435	0
14672	0
341	0
35153	0
14681	0
31072	0
12645	0
33127	0
6507	0
2412	1
20845	0
16756	0
29044	0
33142	0
10614	0
18807	0
33145	0
27004	0
2430	0
33151	0
22911	0
27013	0
18825	0
27018	0
394	0
33164	0
395	1
14731	0
20876	0
27024	0
22929	0
27027	0
4501	0
20885	0
8600	0
10648	0
12696	0
35224	0
24990	0
6560	0
27046	0
16807	0
8616	0
35238	0
6569	0
27051	0
6570	0
427	0
10667	0
12721	0
22962	0
14770	0
18868	0
14773	0
22964	0
33208	0
6584	0
10680	0
22971	0
29117	0
29123	0
22980	0
35268	0
4553	1
31177	0
22987	0
20940	0
10703	0
10704	0
31185	0
20944	0
16850	0
8661	0
20950	0
29141	0
14808	0
29143	0
33240	0
6617	0
6618	0
8667	0
12763	0
27103	0
23004	0
27105	0
20962	0
12771	0
14820	0
27106	0
14822	0
33260	0
8685	0
23027	0
12787	0
18934	0
503	0
20984	0
27128	0
16889	0
27132	0
18940	0
6655	0
4607	1
14847	0
14850	0
515	0
20992	0
29187	0
16902	0
10759	0
35331	0
25099	0
525	0
2576	1
529	0
14865	0
10771	0
18960	0
25104	0
18966	0
27152	0
27154	0
27161	0
29201	0
33304	0
16928	0
18976	0
4644	0
35367	0
21035	0
14900	0
14901	0
23097	0
4669	1
10816	0
35392	0
4676	0
16965	0
33349	0
8775	0
25160	0
27210	0
21069	0
12879	0
8789	0
6743	0
6744	1
10841	0
25180	0
8799	0
12895	0
29280	0
613	0
4711	0
14954	0
31338	0
8813	0
17005	0
27245	0
6769	0
8818	0
21107	0
25204	0
25201	0
31348	0
31349	0
35448	0
17016	0
6783	0
21124	0
27268	0
23174	0
31368	0
17033	0
21129	0
10893	0
10894	0
12941	0
12942	0
19087	0
21133	0
25233	0
27277	0
17048	0
10904	0
35482	0
27291	0
25243	0
23196	0
35485	0
33439	0
19106	0
29347	0
17060	0
15013	0
21159	0
33449	0
4778	0
25260	0
17068	0
27310	0
17070	0
6832	0
23217	0
12975	0
15024	0
35507	0
21177	0
6843	0
700	1
27324	0
31420	0
2751	0
29376	0
31421	0
21186	0
27820	0
25284	0
23237	0
29382	0
17095	0
6860	0
8908	0
10958	0
718	0
10957	0
21196	0
15058	0
33491	0
33484	0
15061	0
27347	0
21208	0
31449	0
29402	0
31451	0
15067	0
23262	0
19168	0
19170	0
8931	0
10979	0
746	0
27371	0
19180	0
6894	0
13040	0
15093	0
19189	0
25337	0
2810	0
11003	0
23290	0
15104	0
21250	0
33540	0
23301	0
2822	0
17161	0
13066	0
27406	0
33550	0
11027	0
788	0
17173	0
31509	0
15129	0
25370	0
8987	0
19227	0
35613	0
21275	0
27423	0
13086	0
31522	0
25379	0
11043	0
17190	0
21288	0
21291	0
15147	0
27437	0
6959	0
11055	1
25392	0
33587	0
25396	0
19252	0
27444	0
31543	0
27448	0
15162	0
27451	0
4923	0
21312	0
27458	0
6981	0
27462	0
17223	0
11082	0
27466	0
11085	0
2896	0
13137	0
19281	0
11091	0
21330	0
25427	0
25430	0
21335	0
29526	0
9046	0
9048	0
27481	0
31577	0
13147	0
33631	0
11104	0
21345	0
864	0
7010	0
15203	0
7012	0
19302	0
25446	0
19299	0
2918	1
23398	0
15208	0
2921	0
23405	0
11117	1
4976	1
31601	0
25458	0
17267	0
23413	0
29558	0
31606	0
27511	0
17273	0
21370	0
25466	0
27516	0
13184	0
29568	0
