sample_index	prediction
20484	0
30725	0
20488	0
14348	0
32782	0
32783	0
30734	0
14351	0
26644	0
24598	0
32790	0
14359	0
26649	0
8219	0
20508	0
24605	0
4127	0
32807	0
18471	0
16425	0
34859	0
8238	0
24624	0
26677	0
12342	0
30774	0
22583	0
34872	0
22584	0
30780	0
8253	0
16446	0
24638	0
22593	0
24646	0
22599	0
10316	0
4173	0
18508	0
30796	0
24656	0
12374	0
28758	0
12377	0
18528	0
16482	0
34917	0
16490	0
20586	0
18541	0
28782	0
12401	0
28785	0
24692	0
12405	0
14456	0
34942	0
14464	0
8321	0
20608	0
28804	0
30856	0
22665	0
22666	0
28814	0
20623	0
32913	0
10390	0
30870	0
16538	0
20637	0
32926	0
34978	0
22693	0
26790	0
8365	0
8366	0
28846	0
26798	0
24757	0
18613	0
18614	0
18615	0
26806	0
20669	0
35006	0
22719	0
30918	0
24778	0
35025	0
32981	0
8406	0
18649	0
4314	0
30939	0
32989	0
14559	0
22751	0
35041	0
32995	0
26854	0
12520	0
24809	0
22770	0
10484	0
33016	0
26872	0
12538	0
26876	0
35068	0
8449	0
28932	0
30990	0
35088	0
16664	0
20760	0
16666	0
28955	0
35096	0
285	0
33054	0
16675	0
20773	0
33062	0
16679	0
16686	0
26926	0
31031	0
24889	0
12601	0
31036	0
35134	0
22846	0
20801	0
18753	0
16707	0
22849	0
22850	0
10564	0
31041	0
16712	0
35153	0
6492	0
31071	0
31072	0
29025	0
4451	0
29028	0
20839	0
6507	0
20845	0
18797	0
16756	0
29044	0
33142	0
33145	0
27004	0
33151	0
22911	0
27013	0
18825	0
27018	0
33164	0
8589	0
20876	0
27024	0
22929	0
27027	0
10647	0
24990	0
10655	0
27046	0
35238	0
27051	0
12721	0
14770	0
22962	0
18868	0
22971	0
29117	0
29123	0
35268	0
31177	0
20942	0
31182	0
20944	0
10703	0
31185	0
29141	0
20950	0
29143	0
33240	0
14808	0
8667	0
12763	0
23004	0
27105	0
20962	0
27106	0
23027	0
10740	0
18934	0
16887	0
27128	0
20984	0
16889	0
20987	0
27132	0
18940	0
20992	0
6657	0
29187	0
35331	0
12806	0
20999	0
25099	0
525	0
12815	0
25104	0
29201	0
31250	0
18960	0
27154	0
21013	0
33304	0
29209	0
18425	0
21019	0
16928	0
18976	0
35367	0
21035	0
29227	0
25139	0
14901	0
16949	0
10807	0
23097	0
10810	0
12860	0
23101	0
10816	0
35392	0
580	0
33349	0
27210	0
6743	0
10841	0
25180	0
8799	0
12895	0
29280	0
613	0
10854	0
8808	0
14954	0
17005	0
27245	0
25201	0
6769	0
21107	0
25204	0
31348	0
17016	0
35448	0
6783	0
21124	0
23174	0
31368	0
17033	0
21129	0
21133	0
27277	0
10894	0
19087	0
25233	0
6804	0
6805	0
17048	0
6809	0
35482	0
25243	0
27291	0
23196	0
35485	0
33439	0
29347	0
17060	0
25255	0
21159	0
31403	0
17068	0
25260	0
17070	0
12972	0
27310	0
6832	0
23217	0
35507	0
21177	0
6843	0
27324	0
31421	0
21186	0
25284	0
23237	0
29382	0
33484	0
21196	0
718	0
10958	0
15058	0
33491	0
27347	0
15061	0
21208	0
15064	0
29402	0
31449	0
15067	0
31451	0
19168	0
19170	0
8931	0
33512	0
27368	0
27371	0
19180	0
25325	0
6894	0
8944	0
13040	0
19189	0
25337	0
23290	0
21250	0
33540	0
23301	0
17161	0
13066	0
27406	0
23311	0
788	0
31509	0
25370	0
8987	0
21275	0
19227	0
35613	0
27423	0
31522	0
25379	0
21288	0
21291	0
15147	0
11053	0
6959	0
25392	0
33587	0
25396	0
27444	0
27445	0
31543	0
15162	0
4923	0
27451	0
21312	0
27458	0
27462	0
11082	0
27466	0
13137	0
21330	0
9043	0
19281	0
11091	0
25430	0
29526	0
21335	0
27481	0
31577	0
13147	0
33631	0
11104	0
21345	0
19299	0
29540	0
15203	0
19302	0
23398	0
23405	0
31601	0
17267	0
23413	0
25462	0
29558	0
31606	0
27511	0
21370	0
27516	0
13184	0
29568	0
23425	0
21379	0
21388	0
11150	0
11151	0
23446	0
25496	0
21400	0
31640	0
9115	0
25500	0
5020	0
15263	0
9120	0
17312	0
25504	0
21408	0
19360	0
29605	0
19361	0
13223	0
21415	0
35755	0
21424	0
23474	0
25523	0
19385	0
27578	0
27580	0
19389	0
19390	0
23485	0
29642	0
25555	0
23509	0
7129	0
19418	0
29662	0
33762	0
15330	0
27629	0
17393	0
13299	0
25591	0
25594	0
33786	0
13308	0
27651	0
11268	0
15366	0
21513	0
27658	0
19467	0
5132	0
11276	0
19471	0
19473	0
35859	0
33815	0
33818	0
13338	0
11299	0
27684	0
29733	0
9254	0
33830	0
21542	0
29736	0
29735	0
15400	0
25644	0
23594	0
21553	0
27698	0
7226	0
27708	0
17470	0
23615	0
3136	0
19521	0
15425	0
33860	0
21573	0
33862	0
35910	0
23623	0
13390	0
35922	0
15446	0
19547	0
35933	0
33886	0
23646	0
29794	0
15461	0
21607	0
31847	0
25705	0
3177	0
25707	0
15465	0
25709	0
13422	0
21614	0
25711	0
31849	0
3187	0
25716	0
7284	0
25719	0
33917	0
13439	0
5248	0
17537	0
23679	0
25735	0
33927	0
31879	0
29834	0
23691	0
25740	0
29837	0
17552	0
25746	0
5271	0
29848	0
31897	0
19617	0
9381	0
11429	0
27813	0
31910	0
27818	0
25772	0
29868	0
19628	0
31916	0
11438	0
21681	0
21684	0
27828	0
31924	0
23734	0
11451	0
21693	0
15551	0
17600	0
13508	0
33990	0
23753	0
15562	0
21707	0
13517	0
13523	0
27860	0
25814	0
7382	0
36055	0
13533	0
15582	0
23774	0
9441	0
27873	0
15587	0
23779	0
23783	0
15593	0
34029	0
29935	0
9456	0
31983	0
11504	0
13555	0
5366	0
17658	0
3323	0
3333	0
23815	0
17672	0
11529	0
29968	0
7441	0
7442	0
17685	0
36118	0
34071	0
7451	0
36129	0
29986	0
19746	0
19747	0
19749	0
29990	0
23849	0
17707	0
34091	0
34092	0
27947	0
25903	0
21807	0
17713	0
34099	0
36148	0
15672	0
25917	0
13632	0
27968	0
34116	0
17733	0
5458	0
34132	0
19797	0
3414	0
17752	0
32090	0
34143	0
32095	0
13666	0
9571	0
34148	0
30050	0
7522	0
7523	0
28005	0
15720	0
19817	0
32105	0
21869	0
21872	0
25969	0
28018	0
30069	0
25975	0
13690	0
15739	0
30076	0
23932	0
32126	0
17794	0
30083	0
30084	0
19846	0
28042	0
23947	0
30098	0
21909	0
26010	0
28059	0
13724	0
21916	0
21920	0
28064	0
1442	0
23972	0
28069	0
21926	0
36267	0
26030	0
15792	0
23984	0
19892	0
32180	0
23992	0
23997	0
13759	0
3520	0
15811	0
30149	0
26059	0
34252	0
28109	0
19918	0
3537	0
24019	0
7638	0
17882	0
34266	0
28125	0
7645	0
13791	0
15845	0
28134	0
17895	0
32233	0
17905	0
28146	0
22008	0
24057	0
9722	0
19962	0
34302	0
34303	0
28161	0
13826	0
9731	0
9732	0
24072	0
24074	0
19982	0
32272	0
13842	0
7698	0
22036	0
22041	0
3614	0
13856	0
5668	0
26149	0
11812	0
34343	0
20004	0
13865	0
30249	0
7716	0
15908	0
3625	0
32301	0
15918	0
22070	0
15930	0
28224	0
32321	0
7750	0
34376	0
3656	0
5707	0
9804	0
32332	0
9810	0
9812	0
13908	0
5720	0
24152	0
20067	0
20068	0
32355	0
20070	0
24164	0
15977	0
24169	0
24171	0
34417	0
24177	0
11891	0
34426	0
28283	0
22142	0
18052	0
22149	0
26246	0
5766	0
5768	0
30344	0
34442	0
32389	0
28295	0
16009	0
11916	0
20110	0
20111	0
28306	0
26258	0
22162	0
26260	0
26261	0
22163	0
30355	0
9881	0
30361	0
22170	0
3734	0
16022	0
24219	0
16028	0
11935	0
1698	0
13989	0
7846	0
20136	0
24232	0
20141	0
34478	0
34480	0
30385	0
11954	0
22199	0
30392	0
28345	0
26299	0
5820	0
18109	0
34495	0
20159	0
1729	0
3778	0
28355	0
34501	0
30405	0
26311	0
16070	0
14025	0
11980	0
34510	0
3790	0
30417	0
20184	0
28376	0
5850	0
18139	0
5851	0
30427	0
22238	0
28379	0
22245	0
20197	0
18152	0
32488	0
34539	0
24300	0
18157	0
24304	0
9969	0
28402	0
24306	0
26357	0
30453	0
32503	0
24314	0
26363	0
16125	0
16127	0
28423	0
34571	0
24333	0
32525	0
22288	0
30482	0
7956	0
22293	0
22295	0
14107	0
18204	0
20252	0
14111	0
28448	0
18213	0
20264	0
32554	0
16182	0
28475	0
30524	0
24380	0
14142	0
20285	0
20286	0
24390	0
20301	0
26447	0
30544	0
30547	0
20309	0
14166	0
16214	0
32598	0
24408	0
5978	0
30555	0
5980	0
32600	0
32601	0
32603	0
3938	0
34661	0
30566	0
30567	0
16234	0
14187	0
32620	0
20333	0
32623	0
32628	0
16254	0
32641	0
8066	0
12163	0
28550	0
30599	0
22409	0
3977	0
12170	0
30605	0
18320	0
14225	0
16273	0
30611	0
26517	0
20381	0
20382	0
16285	0
8097	0
34722	0
12197	0
32681	0
28586	0
22443	0
16299	0
4012	0
30638	0
28589	0
16300	0
32695	0
22457	0
26555	0
32699	0
28605	0
28608	0
32704	0
26563	0
30659	0
4035	0
32708	0
16325	0
34760	0
16327	0
24520	0
32712	0
30668	0
12235	0
22478	0
32721	0
28628	0
34773	0
10201	0
16346	0
16347	0
10205	0
28640	0
28644	0
32753	0
26610	0
20466	0
34804	0
30709	0
12279	0
28665	0
16379	0
