sample_index	prediction
1	1
2	1
3	1
4	0
5	0
6	1
7	0
8	0
9	1
10	0
11	1
12	1
13	0
14	0
15	1
16	1
17	1
19	0
20	1
21	0
22	1
23	0
24	1
25	1
26	0
28	0
29	0
30	0
32	1
34	0
35	0
36	0
37	1
38	0
39	0
40	0
41	0
42	0
43	1
44	0
45	0
46	0
47	1
48	0
49	1
50	1
51	0
54	1
55	1
56	0
57	0
58	1
59	0
60	0
61	1
62	1
63	0
64	0
65	0
66	0
67	0
68	0
69	1
70	0
72	0
73	0
74	1
75	0
76	0
77	0
78	0
79	1
80	0
81	1
82	0
83	1
84	0
85	0
86	0
87	0
88	0
89	0
90	1
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	1
100	0
101	0
102	0
103	1
104	1
105	0
106	0
107	0
108	0
109	0
110	0
111	1
112	0
113	0
114	1
115	0
116	0
117	0
118	0
119	1
120	0
121	0
122	0
123	0
124	1
125	0
126	0
127	0
128	0
129	0
130	0
131	1
132	0
133	0
134	0
136	0
137	0
138	1
139	0
141	0
142	1
143	0
144	1
146	0
147	1
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	1
156	1
157	0
158	0
159	0
160	1
161	1
162	1
163	1
164	0
165	0
166	0
167	1
168	0
169	0
170	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
194	0
195	0
196	1
197	0
198	0
199	0
200	1
201	0
202	0
203	0
205	0
206	0
207	1
208	0
209	0
210	0
211	1
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	1
222	0
223	1
224	0
225	0
226	0
227	0
228	0
229	0
231	0
232	0
233	1
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	1
252	0
253	0
254	0
255	1
256	0
257	0
258	1
259	0
260	0
261	1
262	0
263	0
264	0
265	0
266	1
267	0
268	0
269	0
270	1
271	0
272	1
273	0
274	0
275	1
276	0
277	0
278	1
279	0
280	0
281	0
282	0
283	1
284	0
285	0
286	0
287	0
288	0
289	0
290	1
291	0
292	0
293	0
294	0
295	1
296	0
297	0
298	0
301	0
302	1
303	1
304	1
305	0
306	0
307	1
308	1
309	1
311	0
312	0
313	0
314	0
316	0
317	1
318	1
319	0
320	0
321	0
324	0
325	0
326	0
327	0
328	0
329	1
330	0
331	1
332	0
333	1
334	1
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	0
343	0
344	1
345	0
346	0
347	1
348	0
349	0
350	0
351	1
352	0
353	1
354	0
355	1
356	0
357	0
358	0
359	1
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	1
369	0
370	1
371	1
372	1
373	0
374	0
375	0
376	0
377	1
378	1
379	0
380	1
381	1
382	0
383	1
384	0
385	1
386	1
387	1
389	0
390	0
391	0
392	0
393	0
394	1
395	0
396	0
397	1
398	0
399	0
400	0
401	1
402	0
403	0
404	0
405	1
406	0
407	0
408	0
409	0
410	1
412	1
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	1
424	0
425	0
426	1
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	1
437	0
438	1
439	0
441	1
442	0
444	1
445	0
446	1
447	0
448	0
449	0
450	1
451	1
452	0
453	0
454	0
455	1
456	0
457	0
458	1
459	0
460	0
461	1
463	0
464	0
465	0
466	1
467	0
468	1
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
488	0
489	0
490	0
491	0
492	1
493	0
494	0
495	1
496	0
497	0
498	0
499	0
500	0
501	1
502	0
503	1
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
512	0
513	0
514	1
515	0
516	1
517	1
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	1
527	0
528	0
529	0
530	0
531	0
532	0
533	1
534	1
535	1
536	0
537	1
538	0
540	0
541	0
542	0
543	1
544	1
545	1
546	0
547	0
548	0
549	1
550	1
551	0
553	1
554	1
555	0
556	0
557	1
558	1
559	0
560	1
561	0
562	1
563	1
564	0
565	1
566	1
567	0
568	1
569	0
570	1
571	0
572	0
573	1
574	0
575	0
576	0
577	1
578	1
579	0
580	1
581	0
582	0
583	1
584	0
585	0
586	0
587	1
588	0
589	1
590	1
591	0
592	1
593	0
594	0
595	0
596	0
597	0
598	0
599	1
600	1
601	1
602	0
603	1
604	1
605	0
607	0
608	0
609	1
610	0
611	0
612	0
614	1
615	0
616	1
617	0
618	0
619	0
620	0
621	0
623	1
624	0
625	1
626	0
627	0
628	0
629	0
630	1
631	1
632	0
633	1
634	0
635	0
